accession_number,description,strain,organism,isolation_source,host,country,collection_date,size,reference,genotype
MH018100,"Yellow fever virus isolate YFV/Human/Brazil/2003/M225 polyprotein gene, partial cds",YFV/Human/Brazil/2003/M225,Yellow fever virus,serum,Homo sapiens,Brazil,15-Mar-2003,10169,"location: [0:10169]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",SAI
MH018099,"Yellow fever virus isolate YFV/Monkey/Brazil/2017/M218 polyprotein gene, partial cds",YFV/Monkey/Brazil/2017/M218,Yellow fever virus,0,nonhuman primate,Brazil,10-Mar-2017,10169,"location: [0:10169]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",SAI
MH018094,"Yellow fever virus isolate YFV/Human/Brazil/2017/M164 polyprotein gene, partial cds",YFV/Human/Brazil/2017/M164,Yellow fever virus,serum,Homo sapiens,Brazil,30-Jan-2017,10213,"location: [0:10213]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",
MH018093,"Yellow fever virus isolate YFV/Human/Brazil/2017/M138 polyprotein gene, partial cds",YFV/Human/Brazil/2017/M138,Yellow fever virus,serum,Homo sapiens,Brazil,20-Jan-2017,10213,"location: [0:10213]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",SAI
MH018092,"Yellow fever virus isolate YFV/Human/Brazil/2017/M123 polyprotein gene, partial cds",YFV/Human/Brazil/2017/M123,Yellow fever virus,serum,Homo sapiens,Brazil,27-Jan-2017,10213,"location: [0:10213]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",SAI
MH018091,"Yellow fever virus isolate YFV/Human/Brazil/2017/M107 polyprotein gene, partial cds",YFV/Human/Brazil/2017/M107,Yellow fever virus,liver,Homo sapiens,Brazil,30-Jan-2017,10213,"location: [0:10213]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",SAI
MH018090,"Yellow fever virus isolate YFV/Human/Brazil/2017/M105 polyprotein gene, partial cds",YFV/Human/Brazil/2017/M105,Yellow fever virus,liver,Homo sapiens,Brazil,12-Jan-2017,10213,"location: [0:10213]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",SAI
MH018089,"Yellow fever virus isolate YFV/Human/Brazil/2017/M100 polyprotein gene, partial cds",YFV/Human/Brazil/2017/M100,Yellow fever virus,liver,Homo sapiens,Brazil,02-Jan-2017,10213,"location: [0:10213]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",SAI
MH018088,"Yellow fever virus isolate YFV/Human/Brazil/2017/M99 polyprotein gene, partial cds",YFV/Human/Brazil/2017/M99,Yellow fever virus,liver,Homo sapiens,Brazil,21-Jan-2017,10213,"location: [0:10213]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",SAI
MH018087,"Yellow fever virus isolate YFV/Human/Brazil/2017/M98 polyprotein gene, partial cds",YFV/Human/Brazil/2017/M98,Yellow fever virus,liver,Homo sapiens,Brazil,10-Jan-2017,10213,"location: [0:10213]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",SAI
MH018086,"Yellow fever virus isolate YFV/Human/Brazil/2017/M96 polyprotein gene, partial cds",YFV/Human/Brazil/2017/M96,Yellow fever virus,liver,Homo sapiens,Brazil,19-Jan-2017,9519,"location: [0:9519]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",
MH018085,"Yellow fever virus isolate YFV/Human/Brazil/2017/M94 polyprotein gene, partial cds",YFV/Human/Brazil/2017/M94,Yellow fever virus,liver,Homo sapiens,Brazil,13-Jan-2017,10213,"location: [0:10213]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",SAI
MH018084,"Yellow fever virus isolate YFV/Monkey/Brazil/2017/M83 polyprotein gene, partial cds",YFV/Monkey/Brazil/2017/M83,Yellow fever virus,liver,Callithrix sp.,Brazil,09-Feb-2017,10213,"location: [0:10213]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",SAI
MH018083,"Yellow fever virus isolate YFV/Monkey/Brazil/2017/M79 polyprotein gene, partial cds",YFV/Monkey/Brazil/2017/M79,Yellow fever virus,liver,Alouatta sp.,Brazil,17-Feb-2017,10213,"location: [0:10213]
authors: Faria,N.R., Kraemer,M.U.G., Hill,S., de Jesus,J.G., Aguiar,R.Sd.S., Iani,F.C.M., Xavier,J., Quick,J., Plessis,Ld., Dellicour,S., Theze,J., Carvalho,R.D.O., Baele,G., Wu,C.-H., Silveira,P.P., Arruda,M.B., Pereira,M.A., Pereira,Gd.C., Lourenco,J., Obolski,U., Abade,L., Vasylyeva,T., Giovanetti,M., Li,D., Weiss,D.J., Wint,W.G.R., Shearer,F.M., Funk,S., Nikolay,B., Adelino,T.E.R., Oliveira,M.A.A., Silva,M.V.F., Sacchetto,L., Figueiredo,Pd.O., Rezende,I.Md.M., de Mello,E.M., Said,R.Fd.C.F., Santos,D.Ad.A., Ferraz,M.L., de Brito,M.G., de Santana,L.F., Menezes,M.T., Brindeiro,R.M., Tanuri,A., dos Santos,F.C.P., Cunha,M.S., Nogueira,J.S., Rocco,I.M., da Costa,A.C., Komninakis,S.C.V., Azevedo,V., Chieppe,A.O., de Araujo,E.S.M., de Mendonca,M.C.L., dos Santos,C.C., Rodrigues,C.Dd.S.D., Guia,M.A.M., Nogueira,R.M.R., de Sequeira,P.C., de Abreu,R.G., Garcia,M.Hd.O.H., de Abreu,A.L., Okumoto,O., Kroon,E.G., de Albuquerque,C.F.C., Lewandowski,K., Pullan,S.T., Carroll,M., Sabino,E.C., Souza,R.P., Suchard,M.A., Lemey,P., Trindade,Gd.S., Drumond,B.P., de Filippis,A.M.B., Loman,N., Cauchemez,S., Alcantara,L.C.J. and Pybus,O.G.
title: Genomic and epidemiological monitoring of yellow fever virus transmission potential
journal: bioRxivorg (2018) In press
medline id: 
pubmed id: 
comment: Publication Status: Available-Online prior to print
",SAI
